syllable,tone1,tone2,tone3,tone4,tone5,tones_available
nun,,nun2,,nun4,,2|4
nuo,,nuo2,nuo3,nuo4,,2|3|4
nv,,nv2,nv3,nv4,,2|3|4
nve,,,,nve4,,4
o,o1,o2,o3,o4,o5,1|2|3|4|5
ou,ou1,ou2,ou3,ou4,ou5,1|2|3|4|5
pa,pa1,pa2,pa3,pa4,,1|2|3|4
pai,pai1,pai2,pai3,pai4,,1|2|3|4
pan,pan1,pan2,pan3,pan4,,1|2|3|4
pang,pang1,pang2,pang3,pang4,,1|2|3|4
pao,pao1,pao2,pao3,pao4,,1|2|3|4
pei,pei1,pei2,pei3,pei4,,1|2|3|4
pen,pen1,pen2,pen3,pen4,,1|2|3|4
peng,peng1,peng2,peng3,peng4,,1|2|3|4
pi,pi1,pi2,pi3,pi4,,1|2|3|4
pian,pian1,pian2,pian3,pian4,,1|2|3|4
piao,piao1,piao2,piao3,piao4,,1|2|3|4
pie,pie1,,pie3,pie4,,1|3|4
pin,pin1,pin2,pin3,pin4,,1|2|3|4
ping,ping1,ping2,ping3,ping4,,1|2|3|4
po,po1,po2,po3,po4,po5,1|2|3|4|5
pou,pou1,pou2,pou3,pou4,,1|2|3|4
pu,pu1,pu2,pu3,pu4,pu5,1|2|3|4|5
qi,qi1,qi2,qi3,qi4,qi5,1|2|3|4|5
qia,qia1,qia2,qia3,qia4,,1|2|3|4
qian,qian1,qian2,qian3,qian4,qian5,1|2|3|4|5
qiang,qiang1,qiang2,qiang3,qiang4,,1|2|3|4
qiao,qiao1,qiao2,qiao3,qiao4,,1|2|3|4
qie,qie1,qie2,qie3,qie4,,1|2|3|4
qin,qin1,qin2,qin3,qin4,,1|2|3|4
qing,qing1,qing2,qing3,qing4,qing5,1|2|3|4|5
qiong,qiong1,qiong2,,qiong4,,1|2|4
qiu,qiu1,qiu2,qiu3,qiu4,,1|2|3|4
qu,qu1,qu2,qu3,qu4,qu5,1|2|3|4|5
quan,quan1,quan2,quan3,quan4,quan5,1|2|3|4|5
que,que1,que2,,que4,,1|2|4
qun,qun1,qun2,qun3,,,1|2|3
ran,,ran2,ran3,ran4,,2|3|4
rang,rang1,rang2,rang3,rang4,,1|2|3|4
rao,,rao2,rao3,rao4,,2|3|4
re,,re2,re3,re4,,2|3|4
ren,,ren2,ren3,ren4,,2|3|4
reng,reng1,reng2,,reng4,,1|2|4
ri,,,,ri4,,4
